Account,NAME,Site,BILLINGSTREET,BILLINGCITY,BILLINGSTATE,BILLINGPOSTALCODE,BILLINGCOUNTRY,SHIPPINGSTREET,SHIPPINGCITY,SHIPPINGSTATE,SHIPPINGPOSTALCODE,SHIPPINGCOUNTRY,PHONE,FAX,WEBSITE,DESCRIPTION,,,
Account.001,United Partners*,San Francisco,1 Market St.,San Francisco,California,94105,United States,1 Market St.,San Francisco,California,94105,United States,(673) 555-0153,(673) 555-0182,http://www.unitedpartners.com,Formerly known as United Partners*,,,
Account.004,United Partners (East),Arlington,2137 N Clarendon Blvd,Arlington,Virginia,22209,United States,2137 N Clarendon Blvd,Arlington,Virginia,22209,United States,(543) 555-0153,(543) 555-0182,http://unitedpartnerswashingtondc.net,Up and coming player in the space.,,,
Account.002,United Partners (Bay Area),San Francisco,333 Dolores St,San Francisco,California,94110,United States,333 Dolores St,San Francisco,California,94110,United States,(684) 555-0153,(684) 555-0182,http://www.unitedpartnersbayarea.com,Market leader in its field.,,,
Account.010,Acme Resellers,Littleton,240 E 3rd Ave,San Mateo,California,94401,United States,240 E 3rd Ave,San Mateo,California,94401,United States,(794) 555-0153,(794) 555-0182,http://www.acmeresellers.com,Up and coming player in the space.,,,
Account.006,Advanced Inc.*,Santa Clara,178 San Jose Ave,San Jose,California,95125,United States,178 San Jose Ave,San Jose,California,95125,United States,(346) 555-0153,(346) 555-0182,http://www.Advanced.com,An innovator in its area.,,,
Account.007,Universal Services,Clark,4191 Tamarus St,Clark,Nevada,89119,United States,4191 Tamarus St,Clark,Nevada,89119,United States,(274) 555-0153,(274) 555-0182,http://universalservices.net,Up and coming player in the space.,,,
Account.008,"Vand Enterprises, Inc.",Shelby,3418 Poplar Ave,Shelby,Tennessee,38111,United States,3418 Poplar Ave,Shelby,Tennessee,38111,United States,(674) 555-0153,(674) 555-0182,http://vandenterprisesinc.net,An innovator in its area.,,,
Account.009,Allied Technologies,Multnomah,16909 SE Alder St,Multnomah,Oregon,97233,United States,16909 SE Alder St,Multnomah,Oregon,97233,United States,(494) 555-0153,(494) 555-0182,http://www.alliedtechnologies.com,Up and coming player in the space.,,,
Account.003,United Partners (San Francisco),Maricopa,843 W Howe St,Maricopa,Arizona,85281,United States,843 W Howe St,Maricopa,Arizona,85281,United States,(791) 555-0153,(791) 555-0182,http://unitedpartnersaz.net,Market leader in its field.,,,
Account.005,United Partners (VA),Richmond (city),1419 Commerce Rd,Richmond (city),Virginia,23224,United States,1419 Commerce Rd,Richmond (city),Virginia,23224,United States,(174) 555-0153,(174) 555-0182,http://www.unitedpartnersva.com,An innovator in its area.,,,
PAccount,FIRSTNAME,LASTNAME,BILLINGSTREET,BILLINGCITY,BILLINGSTATE,BILLINGPOSTALCODE,BILLINGCOUNTRY,SHIPPINGSTREET,SHIPPINGCITY,SHIPPINGSTATE,SHIPPINGPOSTALCODE,SHIPPINGCOUNTRY,PHONE,FAX,WEBSITE,DESCRIPTION,,,
PAccount.011,Larry,Baxter,1351 Palisades Beach Road,Santa Monica,California,90401,United States,1351 Palisades Beach Road,Santa Monica,California,90401,United States,(310) 555-0100,(310) 555-0199,,,,,
PAccount.013,Peter,Houston,1520 W 62nd St,Cook,Illinois,60636,United States,1520 W 62nd St,Cook,Illinois,60636,United States,(415) 555-0100,(415) 555-0199,,,,,
PAccount.012,Tammy,Baxter,2350 Jones St.,San Francisco,California,94113,United States,2350 Jones St.,San Francisco,California,94113,United States,(415) 555-0100,(415) 555-0199,,,,,
PAccount.014,Troy,Bullock,2708 Chilton Pl,Charlotte,North Carolina,28207,United States,2708 Chilton Pl,Charlotte,North Carolina,28207,United States,(704) 555-0100,(704) 555-0199,,,,,
PAccount.015,Mike,Malmin,6452 Knyghton Rd,Indianapolis,Indiana,46220,United States,6452 Knyghton Rd,Indianapolis,Indiana,46220,United States,(317) 555-0100,(317) 555-0199,,,,,
PAccount.016,Kari,Rende,245 W Winthrop Ave,Elmhurst,Illinois,60126,United States,245 W Winthrop Ave,Elmhurst,Illinois,60126,United States,(630) 555-0100,(630) 555-0199,,,,,
PAccount.017,Jon,Allegri,5823 Bowen Daniel Dr,Tampa,Florida,33616,United States,5823 Bowen Daniel Dr,Tampa,Florida,33616,United States,(813) 555-0100,(813) 555-0199,,,,,
PAccount.018,Niki,Sullivan,216 Lindy Dr,Las Vegas,Nevada,89107,United States,216 Lindy Dr,Las Vegas,Nevada,89107,United States,(702) 555-0100,(702) 555-0199,,,,,
PAccount.019,Chip,Colli,2115 1st Ave W.,Seattle,Washington,98119,United States,2115 1st Ave W.,Seattle,Washington,98119,United States,(206) 555-0100,(206) 555-0199,,,,,
PAccount.020,Robert,Janzen,3136 Almahurst Row,La Jolla,California,92037,United States,3136 Almahurst Row,La Jolla,California,92037,United States,(858) 555-0100,(858) 555-0199,,,,,
PAccount.021,Bob,Warkentine,828 7th Ave # 11F,New York,New York,10019,United States,828 7th Ave # 11F,New York,New York,10019,United States,(646) 555-0100,(646) 555-0199,,,,,
PAccount.022,Steve,Sutherland,851 Jenifer St,Madison,Wisconsin,53703,United States,851 Jenifer St,Madison,Wisconsin,53703,United States,(608) 555-0100,(608) 555-0199,,,,,
PAccount.023,Benjamin,Young,13715 Lakeshore Way Cv,Houston,Texas,77077,United States,13715 Lakeshore Way Cv,Houston,Texas,77077,United States,(713) 555-0100,(713) 555-0199,,,,,
PAccount.024,Nicole,Grace,1839 Faifield Beach Rd,Fairfield,Connecticut,6824,United States,1839 Faifield Beach Rd,Fairfield,Connecticut,6824,United States,(203) 555-0100,(203) 555-0199,,,,,
Contact,LASTNAME,FIRSTNAME,OTHERSTREET,OTHERCITY,OTHERSTATE,OTHERPOSTALCODE,OTHERCOUNTRY,MAILINGSTREET,MAILINGCITY,MAILINGSTATE,MAILINGPOSTALCODE,MAILINGCOUNTRY,PHONE,FAX,MOBILEPHONE,ASSISTANTPHONE,EMAIL,TITLE,DEPARTMENT
Contact.004,Hodges,Bob,2725 Quarry Rd,Montgomery,Pennsylvania,19009,United States,2725 Quarry Rd,Montgomery,Pennsylvania,19009,United States,(422) 555-0100,(422) 555-0199,(422) 555-0188,(422) 555-0150,bhodges@mailinator.com,President and CEO,C-Level
Contact.001,Boyle*,Lauren,2725 Quarry Rd,Montgomery,Pennsylvania,19009,United States,12011 Government Center Pkwy,Fairfax,California,22035,United States,(415) 555-1212,(276) 555-0182,(212) 842-5611,(415) 555-0150,lb@mailinator.com,"SVP, Technology",Operations
Contact.009,Murphy,Sean,178 San Jose Ave,Santa Clara,California,95125,United States,178 San Jose Ave,Santa Clara,California,95125,United States,(576) 555-0100,(576) 555-0199,(576) 555-0188,(576) 555-0150,seanmurphy@mailinator.com,SVP Marketing,Marketing
Contact.010,Curran,Stephanie,178 San Jose Ave,Santa Clara,California,95125,United States,178 San Jose Ave,Santa Clara,California,95125,United States,(690) 555-0100,(690) 555-0199,(690) 555-0188,(690) 555-0150,stephaniecurran@mailinator.com,EVP Business Development,Business Development
Contact.011,Mcdonald,Steve,178 San Jose Ave,Santa Clara,California,95125,United States,178 San Jose Ave,Santa Clara,California,95125,United States,(631) 555-0100,(631) 555-0199,(631) 555-0188,(631) 555-0150,stevemcdonald@mailinator.com,Chief Information Officer,C-Level
Contact.012,Metz,Mark,178 San Jose Ave,Santa Clara,California,95125,United States,178 San Jose Ave,Santa Clara,California,95125,United States,(747) 555-0100,(747) 555-0199,(747) 555-0188,(747) 555-0150,markmetz@mailinator.com,Chief Executive Officer,C-Level
Contact.013,Lopez,Keith,178 San Jose Ave,Santa Clara,California,95125,United States,178 San Jose Ave,Santa Clara,California,95125,United States,(528) 555-0100,(528) 555-0199,(528) 555-0188,(528) 555-0150,keithlopez@mailinator.com,Marketing Manager,Marketing
Contact.014,Miller,Al,178 San Jose Ave,Santa Clara,California,95125,United States,178 San Jose Ave,Santa Clara,California,95125,United States,(879) 555-0100,(879) 555-0199,(879) 555-0188,(879) 555-0150,almiller@mailinator.com,Purchasing,Operations
Contact.005,Reseller,Tom,6069 NE 49th Ave,Multnomah,Oregon,97218,United States,500 Battery Street,San Francisco,California,94105,United States,(344) 555-0197,(344) 555-0182,(415) 999-7711,(415) 555-0150,treseller@mailinator.com,Account Executive,Sales
Contact.015,Kane,Jeff,178 San Jose Ave,Santa Clara,California,95125,United States,178 San Jose Ave,Santa Clara,California,95125,United States,(385) 555-0100,(385) 555-0199,(385) 555-0188,(385) 555-0150,jeffkane@mailinator.com,Director-Accounting,Finance
Contact.008,Forbes,Sean,4191 Tamarus St,Clark,Nevada,89119,United States,4191 Tamarus St,Clark,Nevada,89119,United States,(237) 555-0100,(237) 555-0199,(237) 555-0188,(237) 555-0150,seanforbes@mailinator.com,CFO,C-Level
Contact.002,Kingston*,Mark,2725 Quarry Rd,Montgomery,Pennsylvania,19009,United States,12011 Government Center Pkwy,Fairfax,Virginia,22035,United States,(769) 555-0197,(769) 555-0182,,(415) 555-0150,mk@mailinator.com,Project Manager,Marketing
Contact.003,Davie*,James,2725 Quarry Rd,Montgomery,Pennsylvania,19009,United States,12011 Government Center Pkwy,Fairfax,Virginia,22035,United States,(274) 555-0197,(274) 555-0182,,(770) 555-0150,jd@mailinator.com,VP of Sales,Operations
Contact.016,Fitzpatrick,Kathy,178 San Jose Ave,Santa Clara,California,95125,United States,178 San Jose Ave,Santa Clara,California,95125,United States,(231) 555-0100,(231) 555-0199,(231) 555-0188,(231) 555-0150,kathyfitzpatrick@mailinator.com,Director-Human Resources,HR
Contact.017,Flachbarth,Ed,178 San Jose Ave,Santa Clara,California,95125,United States,178 San Jose Ave,Santa Clara,California,95125,United States,(475) 555-0100,(475) 555-0199,(475) 555-0188,(475) 555-0150,edflachbarth@mailinator.com,Administrative Assistant,Operations
Contact.006,Ideas,Steve,,,,,United States,3418 Poplar Ave,Shelby,Tennessee,38111,United States,(674) 555-0197,(674) 555-0182,(904) 300-7149,(674) 555-0150,si@mailinator.com,VP Operations,
Lead,LASTNAME,FIRSTNAME,TITLE,COMPANY,STREET,CITY,STATE,POSTALCODE,COUNTRY,PHONE,MOBILEPHONE,FAX,EMAIL,WEBSITE,,,,,
Lead.007,Bolivar,Lea,VP Operations,Safety Sign & Supply Ltd,511 Clifford,Morrisonville,Illinois,72666,United States,(902) 555-0164,(902) 555-0182,(902) 555-0199,leabolivar@mailinator.com,http://www.safetysignsupplyltd.com,,,,,
Lead.011,Hibbard,Siobhan,VP Consulting,Kingsbury Colony,9014 Elwood,Mc Cormick,South Carolina,29835,United States,(829) 555-0164,(829) 555-0182,(829) 555-0199,siobhanhibbard@mailinator.com,http://www.kingsburycolony.net,,,,,
Lead.001,Abelin*,Rosa,VP Consulting,Universe Design,181 S College Ave,Newark,Delaware,19717,United States,(607) 555-0164,(607) 555-0182,(607) 555-0199,rosaabelin@mailinator.com,http://www.universedesign.net,,,,,
Lead.005,Boehme,Debra,Manager Sales Exec Finance Exec,Air Controls Co Inc,3728 Cedar Street,Holland Patent,New York,13354,United States,(642) 555-0164,(642) 555-0182,(642) 555-0199,debraboehme@mailinator.com,http://www.aircontrolscoinc.net,,,,,
Lead.012,Poirier,Quinn,Spouse,Mct Inc-Missoula Children's,507 Rutherford Street,Bandon,Oregon,97411,United States,(261) 555-0164,(261) 555-0182,(261) 555-0199,quinnpoirier@mailinator.com,http://www.mctincmissoulachildrens.net,,,,,
Lead.010,Gunther,Tyrell,VP IT,Midwest Industries Inc,5701 Pinehurst Place,Arbovale,West Virginia,24915,United States,(913) 555-0164,(913) 555-0182,(913) 555-0199,tyrellgunther@mailinator.com,http://www.midwestindustriesinc.com,,,,,
Lead.008,Claude,Alisha,SVP Procurement,Northrop Grumman Corp,4204 Shelby Loop,Corpus Christi,Texas,78469,United States,(245) 555-0164,(245) 555-0182,(245) 555-0199,alishaclaude@mailinator.com,http://www.northropgrummancorp.net,,,,,
Lead.004,Amy,Jordan,VP Purchasing,Lee Enterprises Inc,1479 Grotton Gardens,Cartersville,Georgia,30121,United States,(866) 555-0164,(866) 555-0182,(866) 555-0199,jordanamy@mailinator.com,http://www.leeenterprisesinc.net,,,,,
Lead.009,Greenbaum,Janice,Type Setter,Pasta Montana,797 Warwick Way,Dalton,Washington,53926,United States,(499) 555-0164,(499) 555-0182,(499) 555-0199,janicegreenbaum@mailinator.com,http://www.pastamontana.net,,,,,
Lead.013,Shatzer,Summer,Chairman of the Board Chief Executive Officer,Empire Steel Mfg Co,8907 Barnstable Square,Macksburg,Iowa,50155,United States,(523) 555-0164,(523) 555-0182,(523) 555-0199,summershatzer@mailinator.com,http://www.empiresteelmfgco.com,,,,,
Lead.003,Arlint,Tim,President CEO,Glacier Wholesalers Inc,153 Quarton,Oneill,Nebraska,68763,United States,(857) 555-0164,(857) 555-0182,(857) 555-0199,timarlint@mailinator.com,http://www.glacierwholesalersinc.net,,,,,
Lead.006,Bohan,Guy,CFO,StorSafe,5722 Crescent,Chattanooga,Tennessee,37406,United States,(334) 555-0164,(334) 555-0182,(334) 555-0199,guybohan@mailinator.com,http://www.storsafe.net,,,,,
Lead.014,Tindall,Roman,Chief Information Officer,TT Systems,5999 Lockhart,Charlottesville,Virginia,22908,United States,(471) 555-0164,(471) 555-0182,(471) 555-0199,romantindall@mailinator.com,http://www.ttsystems.com,,,,,
Lead.002,Alonso,Jeremie,VP Consulting,Clarity,572 Brewster,Ribera,New Mexico,87560,United States,(845) 555-0164,(845) 555-0182,(845) 555-0199,jeremiealonso@mailinator.com,http://www.clarity.net,,,,,
Lead.015,Woolum,Kirstin,Account Executive,"ScanSnap, Inc.",3225 Cass,Reed City,Michigan,49677,United States,(711) 555-0164,(711) 555-0182,(711) 555-0199,kirstinwoolum@mailinator.com,http://www.scansnapinc.com,,,,,
Campaign,NAME,DESCRIPTION,CAMPAIGN_TACTIC__C,,,,,,,,,,,,,,,,
Campaign.001,Tradeshow - Sponsor Booth - Q2,,,,,,,,,,,,,,,,,,
Campaign.002,3rd Party Banners - New Product Promos,,,,,,,,,,,,,,,,,,
Campaign.003,3rd Party Banners - Add On Promotions,,Webinars,,,,,,,,,,,,,,,,
Campaign.004,Google Adwords - Multiple Keywords,Process Map,,,,,,,,,,,,,,,,,
Campaign.005,Email - New Products Discount Offer,Email piece driving people to register for tour new business process map - simplified URL directs to a landing page  (www.ucigo.com/webinar),Direct Mail,,,,,,,,,,,,,,,,
Opportunity,NAME,DESCRIPTION,NEXTSTEP,,,,,,,,,,,,,,,,
Opportunity.007,Advanced Inc.* - 49K*,Will give end of year incentive to sign,Sign SOW,,,,,,,,,,,,,,,,
Opportunity.008,Advanced Inc.* - 20K,Potential big win for their decision maker,great win for us,,,,,,,,,,,,,,,,
Opportunity.009,Advanced Inc.* - 5K,Great customer and this deal is looking good,prospect's spouse is married to vp at the competitor,,,,,,,,,,,,,,,,
Opportunity.010,Advanced Inc.* - 27K,"Great sales cycle, with our new product this is a great fit","Quote sent out, waiting for response",,,,,,,,,,,,,,,,
Opportunity.002,United Partners* - 47K,Will give end of year incentive to sign,Sales presentation to the C-Levels scheduled next week,,,,,,,,,,,,,,,,
