Account,NAME,Site,BILLINGSTREET,BILLINGCITY,BILLINGSTATE,BILLINGPOSTALCODE,BILLINGCOUNTRY,SHIPPINGSTREET,SHIPPINGCITY,SHIPPINGSTATE,SHIPPINGPOSTALCODE,SHIPPINGCOUNTRY,PHONE,FAX,WEBSITE,DESCRIPTION,,,
Account.001,Alliance Partenaires *,La Roche-Bernard,Rue de la Quenelle,La Roche-Bernard,,56130,France,32 Boulevard des Italiens,Paris,,75009,France,4563217896,4563217896,http://www.unitedpartners.com,Connu sous le nom de United Partners*,,,
Account.004,Alliance Partenaires (Paris),Paris,1 Rue d'Alger,Paris,,75001,France,1 Rue d'Alger,Paris,,75001,France,2145876325,2145876325,http://unitedpartnerswashingtondc.net,Nouveau venu dans le secteur.,,,
Account.002,Alliance Partenaires (Lille),Lille,15 Rue Charles Quint,Lille,,59000,France,15 Rue Charles V,Lille,,59000,France,125635874,125635874,http://www.unitedpartnersbayarea.com,leader sur son marché‚,,,
Account.010,Revendeur Acme,Paris,8 Rue Primatice,Paris,,75013,France,8 Rue Primatice,Paris,,75013,France,236987410,236987410,http://www.acmeresellers.com,Nouveau venu dans le secteur.,,,
Account.006,Solution Perfection SA*,Paris,40 Boulevard Haussmann,Paris,,75009,France,40 Boulevard Haussmann,Paris,,75009,France,3214569874,3214569874,http://www.Advanced.com,une société innovante dans son secteur,,,
Account.007,Service Universal,Paris,27 Rue Esquirol,Paris,,75013,France,27 Rue Esquirol,Paris,,75013,France,3256985214,3256985214,http://universalservices.net,Nouveau venu dans le secteur.,,,
Account.008,Vandamme et Cie,Paris,20 Rue Berthollet,Paris,,75005,France,20 Rue Berthollet,Paris,,75005,France,1660376300,1935838976,http://vandenterprisesinc.net,Une société innovante dans son secteur,,,
Account.009,Techno Alliance,Paris,60 Rue La Boétie,Paris,,75008,France,60 Rue La Boétie,Paris,,75008,France,1568555407,1844018084,http://www.alliedtechnologies.ie,Nouveau venu dans le secteur.,,,
Account.003,Alliance Partenaires (Toulouse),Toulouse,Rue des Lois,Paris,,31000,France,Rue des Lois,Paris,,31000,France,1476734515,1568555407,http://unitedpartnersaz.net,leader sur son marché‚,,,
Account.005,Alliance Partenaires (Nîmes),Nîmes,Rue de la Parisière,Nîmes,,30000,France,Rue de la Parisière,Nîmes,,30000,France,1384913623,1476734515,http://www.unitedpartnersva.com,une société innovante dans son secteur,,,
Paccount,FIRSTNAME,LASTNAME,BILLINGSTREET,BILLINGCITY,BILLINGSTATE,BILLINGPOSTALCODE,BILLINGCOUNTRY,SHIPPINGSTREET,SHIPPINGCITY,SHIPPINGSTATE,SHIPPINGPOSTALCODE,SHIPPINGCOUNTRY,PHONE,FAX,WEBSITE,DESCRIPTION,,,
PAccount.011,Jean,Monko,Place Saint-Sulpice,Paris,,75006,France,Place Saint-Sulpice,Paris,,75006,France,4563217896,4563217896,,Jean est un client ainsi qu'une référence pour nos clients,,,
PAccount.013,David,Martin,16-18 Rue de Sèvres,Paris,,75007,France,16-18 Rue de Sèvres,Paris,,75007,France,2145876325,2145876325,,,,,
PAccount.012,Pierre,Guechi,9 Rue Saint-Louis en l'île,Paris,,75004,France,9 Rue Saint-Louis en l'île,Paris,,75004,France,125635874,125635874,,,,,
PAccount.014,Franck,Azria,57 Boulevard de Sébastopol,Paris,,75001,France,57 Boulevard de Sébastopol,Paris,,75001,France,236987410,236987410,,,,,
PAccount.015,Michael,Malmin,55-57 Rue des Petites curies,Paris,,75010,France,55-57 Rue des Petites curies,Paris,,75010,France,3214569874,3214569874,,,,,
PAccount.016,Karen,Rende,19 Rue Clapeyron,Paris,,75008,France,19 Rue Clapeyron,Paris,,75008,France,3256985214,3256985214,,,,,
PAccount.017,Jean,Williams,28 ter Rue Sorbier,Paris,,75020,France,28 ter Rue Sorbier,Paris,,75020,France,1935838976,1935838976,,,,,
PAccount.018,Stephanie,Pizzarro,2-8 Rue Jacques Bingen,Paris,,75017,France,2-8 Rue Jacques Bingen,Paris,,75017,France,1844018084,1844018084,,,,,
PAccount.019,Benoit,Colli,134 Avenue de Villiers,Paris,,75017,France,134 Avenue de Villiers,Paris,,75017,France,1752197192,1752197192,,,,,
PAccount.020,Robert,Jean-Pierre,13 Rue Picot,Paris,,75016,France,13 Rue Picot,Paris,,75016,France,1660376300,1660376300,,,,,
PAccount.021,Loic,Lenoir,6 Avenue Albert de Mun,Paris,,75016,France,6 Avenue Albert de Mun,Paris,,75016,France,1568555407,1568555407,,,,,
