Account,NAME,Site,BILLINGSTREET,BILLINGCITY,BILLINGSTATE,BILLINGPOSTALCODE,BILLINGCOUNTRY,SHIPPINGSTREET,SHIPPINGCITY,SHIPPINGSTATE,SHIPPINGPOSTALCODE,SHIPPINGCOUNTRY,PHONE,FAX,WEBSITE,DESCRIPTION,,,
Account.001,Gruber Transporte GmbH,Wien,Blutgasse 10,Wien,Wien,1010,Österreich,Blutgasse 10,Wien,Wien,1010,Österreich,01 512 28 89,01 512 28 90,www.gruber-transporte.at,Vormals bekannt als United Partners*,,,
Account.004,Huber und Sohn GmbH,Wien,Habsburgergasse 97,Wien,Wien,1010,Österreich,Habsburgergasse 97,Wien,Wien,1010,Österreich,01 651 78 52,01 651 78 53,www.huberundsohn.at,ein kommender Star in seinem Umfeld.,,,
Account.002,Wagner GmbH und Co. KG,Wien,Schulerstr. 84,Wien,Wien,1010,Österreich,Schulerstr. 84,Wien,Wien,1010,Österreich,01 658 75 23,01 658 75 24,www.wagner.at,Marktführer in seinem Fachgebiet.,,,
Account.010,Werbeagentur Pichler GmbH,Wien,Godlschmiedgasse 45,Wien,Wien,1010,Österreich,Godlschmiedgasse 45,Wien,Wien,1010,Österreich,01 695 32 48,01 695 32 49,www.pichler-werbung.at,Ein kommender Star in seinem Umfeld.,,,
Account.006,Bäckerei Steiner,Wien,Tuchauben 24,Wien,Wien,1010,Österreich,Tuchauben 24,Wien,Wien,1010,Österreich,01 659 35 48,01 659 35 49,www.backshop-steiner.at,Einer der Innovatoren in seinem Bereich.,,,
Account.007,Gerüstbau Moser GmbH,Salzburg,Pauernfeindstr. 56,Salzburg,Salzburg,5010,Österreich,Pauernfeindstr. 56,Salzburg,Salzburg,5010,Österreich,0662 86 98,662 86 99,www.gerueste-moser.at,Ein kommender Star in seinem Umfeld.,,,
Account.008,Mayer Consulting GmbH,Salzburg,Wiener Str. 63,Salzburg,Salzburg,5010,Österreich,Wiener Str. 63,Salzburg,Salzburg,5010,Österreich,0662 15 76,662 15 77,www.mayerconsulting.at,Einer der Innovatoren in seinem Bereich.,,,
Account.009,Berger Konzept GmbH,Salzburg,Philipp-Harpff-Str. 25,Salzburg,Salzburg,5010,Österreich,Philipp-Harpff-Str. 25,Salzburg,Salzburg,5010,Österreich,0662 48 62,662 48 63,www.berger-konzept.at,Ein kommender Star in seinem Umfeld.,,,
Account.003,Fleischerei Hofer,Klagenfurt,Theatergasse 3,Klagenfurt,Kärnten,9061,Österreich,Theatergasse 3,Klagenfurt,Kärnten,9061,Österreich,0463 85962,463 85963,www.hofer-fleisch.at,Marktführer seiner Branche.,,,
Account.005,Eder Bau AG,Klagenfurt,Waaggasse 78,Klagenfurt,Kärnten,9061,Österreich,Waaggasse 78,Klagenfurt,Kärnten,9061,Österreich,0463 98562,463 98563,www.ederbau.at,Einer der Innovatoren in seinem Bereich.,,,
PAccount,FIRSTNAME,LASTNAME,BILLINGSTREET,BILLINGCITY,BILLINGSTATE,BILLINGPOSTALCODE,BILLINGCOUNTRY,SHIPPINGSTREET,SHIPPINGCITY,SHIPPINGSTATE,SHIPPINGPOSTALCODE,SHIPPINGCOUNTRY,PHONE,FAX,WEBSITE,DESCRIPTION,,,
PAccount.011,Peter,Schmid,Kapuzinergasse 2,Innsbruck,Tirol,6010,Österreich,Kapuzinergasse 2,Innsbruck,Tirol,6010,Österreich,0512 85 36 21,0512 85 36 22,,,,,
PAccount.013,Ursula,Winkler,Dreiheiligenstr. 15,Innsbruck,Tirol,6010,Österreich,Dreiheiligenstr. 15,Innsbruck,Tirol,6010,Österreich,0512 45 23 74,0513 45 23 75,,,,,
PAccount.012,Hans,Weber,Universitätsstr. 43,Innsbruck,Tirol,6010,Österreich,Universitätsstr. 43,Innsbruck,Tirol,6010,Österreich,0512 78 42 91,0512 78 42 92,,,,,
PAccount.014,Karl,Fuchs,Schmiedgasse 26,Innsbruck,Tirol,6010,Österreich,Schmiedgasse 26,Innsbruck,Tirol,6010,Österreich,0512 61 45 06,0512 61 45 07,,,,,
PAccount.015,Marianne,Mayr,Klostergasse 17,Bregenz,Vorarlberg,6900,Österreich,Klostergasse 17,Bregenz,Vorarlberg,6900,Österreich,05574 652 42,05574 652 43,,,,,
PAccount.016,Egon,Niedermayer,Wolfeggstr. 89,Bregenz,Vorarlberg,6900,Österreich,Wolfeggstr. 89,Bregenz,Vorarlberg,6900,Österreich,05574 862 16,05574 862 17,,,,,
PAccount.017,Richard,Egger,Ebnergasse 63,Bregenz,Vorarlberg,6900,Österreich,Ebnergasse 63,Bregenz,Vorarlberg,6900,Österreich,05574 267 95,05574 267 96,,,,,
PAccount.018,Bernd,Schmidt,Am Brand 45,Bregenz,Vorarlberg,6900,Österreich,Am Brand 45,Bregenz,Vorarlberg,6900,Österreich,05574 492 83,05574 492 84,,,,,
PAccount.019,Tobias,Wimmer,Babenwohlweg 34,Bregenz,Vorarlberg,6900,Österreich,Babenwohlweg 34,Bregenz,Vorarlberg,6900,Österreich,05574 359 15,05574 359 16,,,,,
PAccount.020,Heiko,Wieser,Zellerburgstr. 82,Kufstein,Tirol,6330,Österreich,Zellerburgstr. 82,Kufstein,Tirol,6330,Österreich,05372 495 62,05372 495 63,,,,,
PAccount.021,Petra,Stacher,Fischergries 6,Kufstein,Tirol,6330,Österreich,Fischergries 6,Kufstein,Tirol,6330,Österreich,05372 892 47,05372 892 48,,,,,
PAccount.022,Louise,Stadtler,Jägergasse 52,Kufstein,Tirol,6330,Österreich,Jägergasse 52,Kufstein,Tirol,6330,Österreich,05372 482 64,05372 482 65,,,,,
PAccount.023,Angela,Holzer,Herzog-Erich-Str. 21,Kufstein,Tirol,6330,Österreich,Herzog-Erich-Str. 21,Kufstein,Tirol,6330,Österreich,05372 891 42,05372 891 43,,,,,
PAccount.024,Christian,Lehner,Lindenallee 49,Kufstein,Tirol,6330,Österreich,Lindenallee 49,Kufstein,Tirol,6330,Österreich,05372 416 29,05372 416 30,,,,,
Contact,LASTNAME,FIRSTNAME,OTHERSTREET,OTHERCITY,OTHERSTATE,OTHERPOSTALCODE,OTHERCOUNTRY,MAILINGSTREET,MAILINGCITY,MAILINGSTATE,MAILINGPOSTALCODE,MAILINGCOUNTRY,PHONE,FAX,MOBILEPHONE,ASSISTANTPHONE,EMAIL,TITLE,DEPARTMENT
Contact.004,Lechner,Alois,Peraustr. 3,Villach,Kärnten,9500,Österreich,Peraustr. 3,Villach,Kärnten,9500,Österreich,04242 654 26,04242 654 27,0650 7569214,,a.lechner@upc.at,Präsident und CEO,C-Level
Contact.001,Haas,Daniel,Italiener-Str. 78,Villach,Kärnten,9500,Österreich,Italiener-Str. 78,Villach,Kärnten,9500,Österreich,04242 325 14,04242 325 15,0660 4536215,,daniel.haas@a1.at,"SVP, Technologie",Betrieb
Contact.009,Wieser,Ulricke,Heizhausstr. 25,Villach,Kärnten,9500,Österreich,Heizhausstr. 25,Villach,Kärnten,9500,Österreich,04242 653 29,04242 653 30,0664 2615487,,uwieser@tele2.at,SVP Marketing,Marketing
Contact.010,Strasser,Stefanie,Postgasse 49,Villach,Kärnten,9500,Österreich,Postgasse 49,Villach,Kärnten,9500,Österreich,04242 615 28,04242 615 29,0650 9521458,,s.strasser@upc.at,EVP Business Development,Business Development
Contact.011,Haider,Melanie,Burgenlandstr. 82,Villach,Kärnten,9500,Österreich,Burgenlandstr. 82,Villach,Kärnten,9500,Österreich,04242 924 63,04242 924 64,0660 2362514,,melanie.haider@tele2.at,Chief Information Officer,C-Level
Contact.012,Weiss,Horst,Römerstr. 96,Linz,Oberösterreich,4010,Österreich,Römerstr. 96,Linz,Oberösterreich,4010,Österreich,0732 45 24 91,0732 45 24 92,0664 2954136,,horst.weiss@a1.at,Chief Executive Officer,C-Level
Contact.013,Waffenschmidt,Ralf,Hirschgasse 24,Linz,Oberösterreich,4010,Österreich,Hirschgasse 24,Linz,Oberösterreich,4010,Österreich,0732 89 56 27,0732 89 56 28,0650 2621548,,waffi@tele2.at,Marketing Manager,Marketing
Contact.014,Koller,Paul,Schulertal 56,Linz,Oberösterreich,4010,Österreich,Schulertal 56,Linz,Oberösterreich,4010,Österreich,0732 42 61 73,0732 42 61 74,0660 3261154,,p.koller@tele2.at,Einkauf,Betrieb
Contact.005,Riegler,Bettina,Bischhofstr. 47,Linz,Oberösterreich,4010,Österreich,Bischhofstr. 47,Linz,Oberösterreich,4010,Österreich,0732 89 19 72,0732 89 19 73,0664 8956321,,briegler@upc.at,Account Executive,Vertrieb
Contact.015,Stachl,Dorothea,Dimmelstr. 14,Linz,Oberösterreich,4010,Österreich,Dimmelstr. 14,Linz,Oberösterreich,4010,Österreich,0732 96 37 04,0732 96 37 05,0650 2153265,,doro.stachl@upc.at,Finanzdirektor,Finanzen
Contact.008,Oberkofler,Günther,Kaisergasse 64,Linz,Oberösterreich,4010,Österreich,Kaisergasse 64,Linz,Oberösterreich,4010,Österreich,0732 49 29 43,0732 49 29 44,0660 2514526,,goberkofler@upc.at,CFO,C-Level
