Account,NAME,Site,BILLINGSTREET,BILLINGCITY,BILLINGSTATE,BILLINGPOSTALCODE,BILLINGCOUNTRY,SHIPPINGSTREET,SHIPPINGCITY,SHIPPINGSTATE,SHIPPINGPOSTALCODE,SHIPPINGCOUNTRY,PHONE,FAX,WEBSITE,DESCRIPTION,,,
Account.001,Gruber Transporte GmbH,Berlin Buch,Leopoldstraße 57,Berlin Buch,BE,13125,Deutschland,Leopoldstraße 57,Berlin Buch,BE,13125,Deutschland,08343 26 24 05,08343 26 24 05,www.gruber-transporte.at,Vormals bekannt als United Partners*,,,
Account.004,Huber und Sohn GmbH,Berlin Buckow,Leopoldstraße 39,Berlin Buckow,BE,12353,Deutschland,Leopoldstraße 39,Berlin Buckow,BE,12353,Deutschland,08772 74 21 95,08772 74 21 95,www.huberundsohn.at,ein kommender Star in seinem Umfeld.,,,
Account.002,Wagner GmbH und Co. KG,Berlin Heiligensee,Leopoldstraße 3,Berlin Heiligensee,BE,13503,Deutschland,Leopoldstraße 3,Berlin Heiligensee,BE,13503,Deutschland,0381 55 97 54,0381 55 97 54,www.wagner.at,Marktführer in seinem Fachgebiet.,,,
Account.010,Werbeagentur Pichler GmbH,Berlin Reinickendorf,Brandenburgische Straße 37,Berlin Reinickendorf,BE,13403,Deutschland,Brandenburgische Straße 37,Berlin Reinickendorf,BE,13403,Deutschland,02681 47 78 26,02681 47 78 26,www.pichler-werbung.at,Ein kommender Star in seinem Umfeld.,,,
Account.006,Bäckerei Steiner,Hamburg Altona-Nord,Waßmannsdorfer Chaussee 14,Hamburg Altona-Nord,HH,20357,Deutschland,Waßmannsdorfer Chaussee 14,Hamburg Altona-Nord,HH,20357,Deutschland,036204 18 00,036204 18 00,www.backshop-steiner.at,Einer der Innovatoren in seinem Bereich.,,,
Account.007,Gerüstbau Moser GmbH,Hamburg Bahrenfeld,Waßmannsdorfer Chaussee 77,Hamburg Bahrenfeld,HH,22769,Deutschland,Waßmannsdorfer Chaussee 77,Hamburg Bahrenfeld,HH,22769,Deutschland,036204 75 33,036204 75 33,www.gerueste-moser.at,Ein kommender Star in seinem Umfeld.,,,
Account.008,Mayer Consulting GmbH,München,Rhinstrasse 38,München,BY,80738,Deutschland,Rhinstrasse 38,München,BY,80738,Deutschland,06568 78 90 53,06568 78 90 53,www.mayerconsulting.at,Einer der Innovatoren in seinem Bereich.,,,
Account.009,Berger Konzept GmbH,München,Kurfuerstendamm 32,München,BY,80032,Deutschland,Kurfuerstendamm 32,München,BY,80032,Deutschland,05328 44 19 88,05328 44 19 88,www.berger-konzept.at,Ein kommender Star in seinem Umfeld.,,,
Account.003,Fleischerei Hofer,Nürnberg,Kantstrasse 60,Nürnberg,BY,90480,Deutschland,Kantstrasse 60,Nürnberg,BY,90480,Deutschland,09545 25 26 01,09545 25 26 01,www.hofer-fleisch.at,Marktführer seiner Branche.,,,
Account.005,Eder Bau AG,Nürnberg,Rathausstrasse 79,Nürnberg,BY,90121,Deutschland,Rathausstrasse 79,Nürnberg,BY,90121,Deutschland,08621 58 91 31,08621 58 91 31,www.ederbau.at,Einer der Innovatoren in seinem Bereich.,,,
PAccount,FIRSTNAME,LASTNAME,BILLINGSTREET,BILLINGCITY,BILLINGSTATE,BILLINGPOSTALCODE,BILLINGCOUNTRY,SHIPPINGSTREET,SHIPPINGCITY,SHIPPINGSTATE,SHIPPINGPOSTALCODE,SHIPPINGCOUNTRY,PHONE,FAX,WEBSITE,DESCRIPTION,,,
PAccount.011,Peter,Schmid,Genslerstraße 97,Berlin Schöneberg,BE,10785,Deutschland,Genslerstraße 97,Berlin Schöneberg,BE,10785,Deutschland,09602 13 23 65,09602 13 23 65,,,,,
PAccount.013,Ursula,Winkler,Genslerstraße 29,Berlin Siemensstadt,BE,13627,Deutschland,Genslerstraße 29,Berlin Siemensstadt,BE,13627,Deutschland,036847 92 24,036847 92 24,,,,,
PAccount.012,Hans,Weber,Genslerstraße 33,Berlin Tegel,BE,13403,Deutschland,Genslerstraße 33,Berlin Tegel,BE,13403,Deutschland,036847 82 81,036847 82 81,,,,,
PAccount.014,Karl,Fuchs,Waßmannsdorfer Chaussee 30,Berlin Wittenau,BE,13403,Deutschland,Waßmannsdorfer Chaussee 30,Berlin Wittenau,BE,13403,Deutschland,08202 88 67 25,08202 88 67 25,,,,,
PAccount.015,Marianne,Mayr,Friedrichstrasse 87,Düsseldorf Holthausen,NW,40599,Deutschland,Friedrichstrasse 87,Düsseldorf Holthausen,NW,40599,Deutschland,034495 78 61,034495 78 61,,,,,
PAccount.016,Egon,Niedermayer,Park Str. 29,Düsseldorf Oberkassel,NW,40545,Deutschland,Park Str. 29,Düsseldorf Oberkassel,NW,40545,Deutschland,03341 49 62 61,03341 49 62 61,,,,,
PAccount.017,Richard,Egger,Boxhagener Str. 82,Hamburg Harburg,HH,21075,Deutschland,Boxhagener Str. 82,Hamburg Harburg,HH,21075,Deutschland,06205 88 40 63,06205 88 40 63,,,,,
PAccount.018,Bernd,Schmidt,Fasanenstrasse 18,Hamburg Langenhorn,HH,22415,Deutschland,Fasanenstrasse 18,Hamburg Langenhorn,HH,22415,Deutschland,06571 88 95 28,06571 88 95 28,,,,,
PAccount.019,Tobias,Wimmer,Landsberger Allee 53,München,BY,80637,Deutschland,Landsberger Allee 53,München,BY,80637,Deutschland,06545 47 98 95,06545 47 98 95,,,,,
PAccount.020,Heiko,Wieser,Rosenstrasse 46,München,BY,81316,Deutschland,Rosenstrasse 46,München,BY,81316,Deutschland,06023 55 72 83,06023 55 72 83,,,,,
PAccount.021,Petra,Stacher,Rathausstrasse 64,Nürnberg,BY,90016,Deutschland,Rathausstrasse 64,Nürnberg,BY,90016,Deutschland,08636 36 01 76,08636 36 01 76,,,,,
PAccount.022,Louise,Stadtler,Kantstrasse 92,Nürnberg,BY,90322,Deutschland,Kantstrasse 92,Nürnberg,BY,90322,Deutschland,039384 66 71,039384 66 71,,,,,
PAccount.023,Angela,Holzer,Pohlstrasse 29,Warberg,NI,38378,Deutschland,Pohlstrasse 29,Warberg,NI,38378,Deutschland,02655 14 20 10,02655 14 20 10,,,,,
PAccount.024,Christian,Lehner,Guentzelstrasse 48,Wartenberg,HE,36367,Deutschland,Guentzelstrasse 48,Wartenberg,HE,36367,Deutschland,09977 71 42 27,09977 71 42 27,,,,,
Contact,LASTNAME,FIRSTNAME,OTHERSTREET,OTHERCITY,OTHERSTATE,OTHERPOSTALCODE,OTHERCOUNTRY,MAILINGSTREET,MAILINGCITY,MAILINGSTATE,MAILINGPOSTALCODE,MAILINGCOUNTRY,PHONE,FAX,MOBILEPHONE,ASSISTANTPHONE,EMAIL,TITLE,DEPARTMENT
Contact.004,Lechner,Alois,Leopoldstraße 99,Berlin Charlottenburg,BE,14050,Deutschland,Leopoldstraße 99,Berlin Charlottenburg,BE,14050,Deutschland,036966 32 75,036966 32 75,036601 79 99,,a.lechner@mailinator.com,Präsident und CEO,C-Level
Contact.001,Haas,Daniel,Leopoldstraße 99,Berlin Grünau,BE,12527,Deutschland,Leopoldstraße 99,Berlin Grünau,BE,12527,Deutschland,03473 15 02 68,03473 15 02 68,034341 52 57,,daniel.haas@mailinator.com,"SVP, Technologie",Betrieb
Contact.009,Wieser,Ulricke,Genslerstraße 36,Berlin Reinickendorf,BE,13407,Deutschland,Genslerstraße 36,Berlin Reinickendorf,BE,13407,Deutschland,037208 45 07,037208 45 07,05524 69 11 86,,uwieser@mailinator.com,SVP Marketing,Marketing
Contact.010,Strasser,Stefanie,Genslerstraße 64,Berlin Rosenthal,BE,13158,Deutschland,Genslerstraße 64,Berlin Rosenthal,BE,13158,Deutschland,0821 93 65 99,0821 93 65 99,05734 57 02 76,,s.strasser@mailinator.com,EVP Business Development,Business Development
Contact.011,Haider,Melanie,Messedamm 76,Dresden,SN,1131,Deutschland,Messedamm 76,Dresden,SN,1131,Deutschland,0821 66 64 04,0821 66 64 04,05208 28 53 16,,melanie.haider@mailinator.com,Chief Information Officer,C-Level
Contact.012,Weiss,Horst,Messedamm 61,Dresden,SN,1147,Deutschland,Messedamm 61,Dresden,SN,1147,Deutschland,0821 99 13 62,0821 99 13 62,09288 21 24 27,,horst.weiss@mailinator.com,Chief Executive Officer,C-Level
Contact.013,Waffenschmidt,Ralf,Fasanenstrasse 72,Hamburg Rotherbaum,HH,20354,Deutschland,Fasanenstrasse 72,Hamburg Rotherbaum,HH,20354,Deutschland,0821 42 25 76,0821 42 25 76,08041 97 74 34,,waffi@mailinator.com,Marketing Manager,Marketing
Contact.014,Koller,Paul,Los-Angeles-Platz 42,Hamburg Tonndorf,HH,22159,Deutschland,Los-Angeles-Platz 42,Hamburg Tonndorf,HH,22159,Deutschland,0821 58 73 52,0821 58 73 52,08247 47 73 36,,p.koller@mailinator.com,Einkauf,Betrieb
