Account,NAME,Site,BILLINGSTREET,BILLINGCITY,BILLINGSTATE,BILLINGPOSTALCODE,BILLINGCOUNTRY,SHIPPINGSTREET,SHIPPINGCITY,SHIPPINGSTATE,SHIPPINGPOSTALCODE,SHIPPINGCOUNTRY,PHONE,FAX,WEBSITE,DESCRIPTION,,,
Account.001,Gruber Transporte GmbH,Basel,Breitenstrasse 16,Basel,Basel,4092,Schweiz,Breitenstrasse 16,Basel,Basel,4092,Schweiz,041 447 44 59,041 447 44 59,www.gruber-transporte.at,Vormals bekannt als United Partners*,,,
Account.004,Huber und Sohn GmbH,Basel,Wiesenstrasse 53,Basel,Basel,4015,Schweiz,Wiesenstrasse 53,Basel,Basel,4015,Schweiz,021 216 49 95,021 216 49 95,www.huberundsohn.at,ein kommender Star in seinem Umfeld.,,,
Account.002,Wagner GmbH und Co. KG,Basel,Breitenstrasse 47,Basel,Basel,4070,Schweiz,Breitenstrasse 47,Basel,Basel,4070,Schweiz,044 815 50 53,044 815 50 53,www.wagner.at,Marktführer in seinem Fachgebiet.,,,
Account.010,Werbeagentur Pichler GmbH,Genève,Via Schliffras 65,Genève,Genève,1289,Schweiz,Via Schliffras 65,Genève,Genève,1289,Schweiz,031 217 40 22,031 217 40 22,www.pichler-werbung.at,Ein kommender Star in seinem Umfeld.,,,
Account.006,Bäckerei Steiner,Genève,Glennerstrasse 35,Genève,Genève,1240,Schweiz,Glennerstrasse 35,Genève,Genève,1240,Schweiz,052 712 72 14,052 712 72 14,www.backshop-steiner.at,Einer der Innovatoren in seinem Bereich.,,,
Account.007,Gerüstbau Moser GmbH,Schaffhausen,Landstrasse 102,Schaffhausen,Schaffhausen,8200,Schweiz,Landstrasse 102,Schaffhausen,Schaffhausen,8200,Schweiz,062 938 37 50,062 938 37 50,www.gerueste-moser.at,Ein kommender Star in seinem Umfeld.,,,
Account.008,Mayer Consulting GmbH,Schaffhausen,Landstrasse 82,Schaffhausen,Schaffhausen,8202,Schweiz,Landstrasse 82,Schaffhausen,Schaffhausen,8202,Schweiz,062 390 81 75,062 390 81 75,www.mayerconsulting.at,Einer der Innovatoren in seinem Bereich.,,,
Account.009,Berger Konzept GmbH,Zürich,Brunnacherstrasse 83,Zürich,Zürich,8070,Schweiz,Brunnacherstrasse 83,Zürich,Zürich,8070,Schweiz,081 418 66 42,081 418 66 42,www.berger-konzept.at,Ein kommender Star in seinem Umfeld.,,,
Account.003,Fleischerei Hofer,Zürich,Strickstrasse 114,Zürich,Zürich,8003,Schweiz,Strickstrasse 114,Zürich,Zürich,8003,Schweiz,021 280 14 49,021 280 14 49,www.hofer-fleisch.at,Marktführer seiner Branche.,,,
Account.005,Eder Bau AG,Zürich,Brunnacherstrasse 146,Zürich,Zürich,8079,Schweiz,Brunnacherstrasse 146,Zürich,Zürich,8079,Schweiz,024 335 32 62,024 335 32 62,www.ederbau.at,Einer der Innovatoren in seinem Bereich.,,,
PAccount,FIRSTNAME,LASTNAME,BILLINGSTREET,BILLINGCITY,BILLINGSTATE,BILLINGPOSTALCODE,BILLINGCOUNTRY,SHIPPINGSTREET,SHIPPINGCITY,SHIPPINGSTATE,SHIPPINGPOSTALCODE,SHIPPINGCOUNTRY,PHONE,FAX,WEBSITE,DESCRIPTION,,,
PAccount.011,Peter,Schmid,Breitenstrasse 53,Basel,Basel,4018,Schweiz,Breitenstrasse 53,Basel,Basel,4018,Schweiz,052 846 77 38,052 846 77 38,,,,,
