Account,NAME,Site,BILLINGSTREET,BILLINGCITY,BILLINGSTATE,BILLINGPOSTALCODE,BILLINGCOUNTRY,SHIPPINGSTREET,SHIPPINGCITY,SHIPPINGSTATE,SHIPPINGPOSTALCODE,SHIPPINGCOUNTRY,PHONE,FAX,WEBSITE,DESCRIPTION,INDUSTRY,,
Account.001,Fletcher Building Limited*,Penrose,810 Great South Road,Penrose,,1061,New Zealand,810 Great South Road,Penrose,,1061,New Zealand,09 525 9000,09 525 9032,http://www.fletcherbuilding.co.nz,"Fletcher Building has operations in concrete, steel, fibreglass insulation, aluminium extrusion, roofing, access flooring systems, sinkware, laminates and panels and is involved in residential and commercial construction.",Manufacturing,,
Account.004,Firth Industries,Penrose,585 Great South Road,Penrose,,1061,New Zealand,585 Great South Road,Penrose,,1061,New Zealand,09 525 9190,09 525 9119,http://www.firth.co.nz,"Manufacturers and suppliers of ready mixed concrete, natural stone and dry mixed concrete products.",Manufacturing,,
Account.002,Winstone Aggregates,Penrose,812 Great South Road,Penrose,,1061,New Zealand,812 Great South Road,Penrose,,1061,New Zealand,09 525 9004,09 525 9301,http://www.winstoneaggregates.co.nz,"New Zealand's largest manufacturer and distributor of aggregates and sand to roading, ready mixed concrete, concrete product manufacturers, and to building and civil engineering customers",Mining,,
Account.010,Beca Group Ltd,Auckland,132 Vincent Street,Auckland,,1010,New Zealand,132 Vincent Street,Auckland,,1010,New Zealand,09 300 9000,09 300 9300,http://www.beca.com,"Multi-disciplinary consulting practice offering a wide range of engineering, project management, planning, surveying, valuation, economics and computer services.",Consultancy,,
Account.006,Air New Zealand Ltd*,Auckland,185 Fanshawe Street,Auckland,,1010,New Zealand,185 Fanshawe Street,Auckland,,1010,New Zealand,09 336 2400,09 336 2401,http://www.airnewzealand.co.nz,"Airline - International and domestic passenger and cargo services, ground handling services, engineering and travel reservations and information services",Transportation,,
Account.007,Mainfreight International Ltd,Mangere,107 Westney Road,Mangere,,2022,New Zealand,107 Westney Road,Mangere,,2022,New Zealand,09 275 8136,09 275 1221,http://www.mainfreightinternational.co.nz,"International freight company providing full seafreight, airfreight, import and export services",Transportation,,
Account.008,Fisher and Paykel Healthcare Corporation Ltd,East Tamaki,15 Maurice Paykel Place,East Tamaki,,2013,New Zealand,15 Maurice Paykel Place,East Tamaki,,2013,New Zealand,09 574 0100,09 574 0158,http://www.fphcare.co.nz,"Designer, manufacturer and marketer of electronic healthcare devices, medical and respiratory equipment",Healthcare,,
Account.009,SkyCity Entertainment Group,Auckland,86 Federal Street,Auckland,,1010,New Zealand,86 Federal Street,Auckland,,1010,New Zealand,09 363 6141,09 363 6140,http://www.skycitygroup.co.nz,Gaming and entertainment operators,Gaming,,
Account.003,Fletcher Aluminium,Mt Wellington,30-32 Bowden Road,Mt Wellington,,1060,New Zealand,30-32 Bowden Road,Mt Wellington,,1060,New Zealand,09 574 1500,09 574 1600,http://www.fletcheraluminium.co.nz,"Manufacture of mill finish, powdercoated and anodised aluminium extrusions, windows and doors. Master franchisor of a network of window and door fabricators",Manufacturing,,
Account.005,Winstone Wallboards Ltd,Penrose,37 Felix Street,Penrose,,1061,New Zealand,37 Felix Street,Penrose,,1061,New Zealand,09 633 0100,09 633 0101,http://www.gib.co.nz,"Manufacturer of gypsum-based sheet products for wall and ceiling linings, fire ratings, bracing, wet areas.",Manufacturing,,
Paccount,FIRSTNAME,LASTNAME,BILLINGSTREET,BILLINGCITY,BILLINGSTATE,BILLINGPOSTALCODE,BILLINGCOUNTRY,SHIPPINGSTREET,SHIPPINGCITY,SHIPPINGSTATE,SHIPPINGPOSTALCODE,SHIPPINGCOUNTRY,PHONE,FAX,WEBSITE,DESCRIPTION,,,
PAccount.011,Larry,Baxter,67 Symonds Street,Auckland,,1010,New Zealand,67 Symonds Street,Auckland,,1010,New Zealand,09 909 8400,09 909 8401,,,,,
PAccount.013,Peter,Houston,101 Courtenay Place,Wellington,,6011,New Zealand,101 Courtenay Place,Wellington,,6011,New Zealand,04 381 2884,04 381 2894,,,,,
PAccount.012,Tammy,Baxter,14A Manga Road,Silverdale,,1010,New Zealand,14A Manga Road,Silverdale,,1010,New Zealand,09 426 9703,09 426 9704,,,,,
PAccount.014,Troy,Bullock,116-118 Quay Street,Auckland Central,,1010,New Zealand,116-118 Quay Street,Auckland Central,,1010,New Zealand,09 920 9430,09 920 9443,,,,,
PAccount.015,Mike,Malmin,137 Kilmore Street,Christchurch,,8013,New Zealand,137 Kilmore Street,Christchurch,,8013,New Zealand,03 377 5880,03 377 5882,,,,,
PAccount.016,Kari,Rende,8 Paparoa Road,Howick,,2014,New Zealand,8 Paparoa Road,Howick,,2014,New Zealand,09 534 8019,09 534 8010,,,,,
PAccount.017,Jon,Allegri,61 Hobill Avenue,Manukau City,,2104,New Zealand,61 Hobill Avenue,Manukau City,,2104,New Zealand,09 263 5500,09 263 5502,,,,,
PAccount.018,Niki,Sullivan,26 Glover Street,Ngauranga,,6035,New Zealand,26 Glover Street,Ngauranga,,6035,New Zealand,04 499 6000,04 473 4447,,,,,
PAccount.019,Chip,Colli,220B Bush Road,Albany,,1010,New Zealand,220B Bush Road,Albany,,1010,New Zealand,09 414 4466,09 414 4467,,,,,
PAccount.020,Robert,Janzen,555 Andersons Bay Road,Dunedin,,9012,New Zealand,555 Andersons Bay Road,Dunedin,,9012,New Zealand,03 455 5779,03 455 5771,,,,,
PAccount.021,Bob,Warkentine,128 Symonds Street,Auckland,,1010,New Zealand,128 Symonds Street,Auckland,,1010,New Zealand,09 968 3500,09 968 3506,,,,,
PAccount.022,Steve,Sutherland,34 Princes Street,Auckland Central,,1010,New Zealand,34 Princes Street,Auckland Central,,1010,New Zealand,09 309 4831,09 366 7224,,,,,
PAccount.023,Benjamin,Young,187 Queen Street,Auckland Central,,1010,New Zealand,187 Queen Street,Auckland Central,,1010,New Zealand,09 302 1213,09 302 1216,,,,,
PAccount.024,Nicole,Grace,22B Ashfield Street,Glenfield,,1010,New Zealand,22B Ashfield Street,Glenfield,,1010,New Zealand,09 444 8602,09 444 8607,,,,,
