Account,NAME,Site,BILLINGSTREET,BILLINGCITY,BILLINGSTATE,BILLINGPOSTALCODE,BILLINGCOUNTRY,SHIPPINGSTREET,SHIPPINGCITY,SHIPPINGSTATE,SHIPPINGPOSTALCODE,SHIPPINGCOUNTRY,PHONE,FAX,WEBSITE,DESCRIPTION,,,
Account.001,United Partners*,Leeds,1 Cornhill,London,,EC3V 3ND,United Kingdom,"2 Great George Street, City Centre",Leeds,,LS13BR,United Kingdom,018 56587942,018 12157893,http://www.unitedpartners.com,Formerly known as United Partners*,,,
Account.004,United Partners (London),London,1 Prince's St,London,,EC2R 8BP,United Kingdom,"11 St. Andrews Place, Regent's Park",London,,NW1 4LE,United Kingdom,020 73873912,020 89873912,http://unitedpartnerswashingtondc.net,Up and coming player in the space.,,,
Account.002,United Partners (Manchester),Manchester,29 Piccadilly,Manchester,,M1 1NB,United Kingdom,29 Piccadilly,Manchester,,M1 1NB,United Kingdom,020 73393935,020 23393935,http://www.unitedpartnersbayarea.com,Market leader in its field.,,,
Account.010,Acme Resellers,London,"Chiswick Park 566, Chiswick High Road, Chiswick",London,,W4 5YA,United Kingdom,"Chiswick Park 566, Chiswick High Road, Chiswick",London,,W4 5YA,United Kingdom,020 03873900,020 03873900,http://www.acmeresellers.com,Up and coming player in the space.,,,
Account.006,Advanced Solutions plc.*,London,15 Sloane Square,London,,SW1 W8EG,United Kingdom,15 Sloane Square,London,,SW1 W8EG,United Kingdom,016 78883902,016 11883902,http://www.Advanced.com,An innovator in its area.,,,
Account.007,Universal Services,London,3 Lexington Street,London,,W1F 0LE,United Kingdom,3 Lexington Street,London,,W1F 0LE,United Kingdom,020 28833692,020 20283369,http://universalservices.net,Up and coming player in the space.,,,
Account.008,"Vand Enterprises, Inc.",London,28 Smiths Square,London,,SW1P 3,United Kingdom,28 Smiths Square,London,,SW1P 3,United Kingdom,020 73873912,020 73873912,http://vandenterprisesinc.net,An innovator in its area.,,,
Account.009,Allied Technologies,Dublin 3,"The Plaza, Eastpoint Business Park",Dublin 3,,Dublin 3,Ireland,"The Plaza, Eastpoint Business Park",Dublin 3,,Dublin 3,Ireland,01 5890432,01 3330432,http://www.alliedtechnologies.ie,Up and coming player in the space.,,,
Account.003,United Partners (Leeds),Leeds,"The Knight, The Headrow",Leeds,,LS1 8TL,United Kingdom,"The Knight, The Headrow",Leeds,,LS1 8TL,United Kingdom,020 73873222,020 73873929,http://unitedpartnersaz.net,Market leader in its field.,,,
Account.005,United Partners (Newcastle),Newcastle,33 New Bridge Street St West,Newcastle Upon Tyne,,NE1 8AX,United Kingdom,33 New Bridge Street St West,Newcastle Upon Tyne,,NE1 8AX,United Kingdom,020 73873222,020 73873222,http://www.unitedpartnersva.com,An innovator in its area.,,,
PAccount,FIRSTNAME,LASTNAME,BILLINGSTREET,BILLINGCITY,BILLINGSTATE,BILLINGPOSTALCODE,BILLINGCOUNTRY,SHIPPINGSTREET,SHIPPINGCITY,SHIPPINGSTATE,SHIPPINGPOSTALCODE,SHIPPINGCOUNTRY,PHONE,FAX,WEBSITE,DESCRIPTION,,,
PAccount.011,Larry,Baxter,"7 Greek Street,",Leeds,,LS1 5RW,United Kingdom,7 Greek Street,West Yorkshire,,LS1 5RW,United Kingdom,020 03873900,020 23256523,,Larry is a customer as well as an adviser to our customers.,,,
PAccount.013,Peter,Houston,31 Great Smith Street,London,,SW1P 3BN,United Kingdom,31 Great Smith Street,London,,SW1P 3BN,United Kingdom,016 78883902,020 73873929,,,,,
PAccount.012,Tammy,Baxter,"4 Cowley Street, City of London",London,,SW1P 3NB,United Kingdom,"4 Cowley Street, City Of London",London,,SW1P 3NB,United Kingdom,020 28833692,016 11883902,,,,,
PAccount.014,Troy,Bullock,"5 Great College Street, City of London",London,,SW1P 3SJ,United Kingdom,"5 Great College Street, City Of London",London,,SW1P 3SJ,United Kingdom,020 73873912,020 73873933,,,,,
PAccount.015,Mike,Malmin,"4 Millbank, City of London",London,,SW1P 3XR,United Kingdom,"4 Millbank, City of London",London,,SW1P 3XR,United Kingdom,020 71236547,020 73873929,,,,,
PAccount.016,Kari,Rende,"45 Marsham Street, Westminster",London,,SW1P 3,United Kingdom,"45 Marsham Street, Westminster",Manchester,,M1 4LX,United Kingdom,020 22273933,020 73873933,,,,,
